,SuhuMin,Kelembaban9am,Kelembaban3pm,BersaljuHariIni,Awan9am,Awan3pm,Hujan,KecepatanAnginTerkencang,bersalju_besok,prediction
0,18.2,62.0,42.0,0,4.4508929235253,4.516139514731369,0.0,44.0,0,0
1,12.3,76.0,80.0,0,8.0,7.0,0.0,40.032002287991006,1,0
2,6.5,65.0,66.0,0,4.4508929235253,4.516139514731369,0.0,39.0,0,0
3,9.3,82.0,46.0,0,5.0,5.0,0.0,39.0,0,0
4,10.7,73.0,42.0,0,4.4508929235253,4.516139514731369,0.2,43.0,0,0
5,13.0,84.0,53.0,0,3.0,5.0,0.2,33.0,0,0
6,12.5,65.0,29.0,1,5.0,4.0,2.0,50.0,0,0
7,19.5,67.0,25.0,0,2.0,4.516139514731369,0.0,35.0,0,0
8,5.5,65.0,51.0,0,4.4508929235253,4.516139514731369,0.2,48.0,0,0
9,9.3,70.0,40.0,0,6.0,4.0,0.0,46.0,1,0
10,11.2,35.0,25.0,0,4.4508929235253,4.516139514731369,0.8,41.0,0,0
11,17.1,62.0,59.0,0,1.0,4.0,0.0,39.0,0,0
12,1.8,87.0,42.0,0,4.4508929235253,4.516139514731369,0.0,30.0,0,0
13,9.1,63.0,37.0,0,4.4508929235253,4.516139514731369,0.0,24.0,0,0
14,7.3,36.0,37.0,0,4.4508929235253,4.516139514731369,0.0,40.032002287991006,0,0
15,14.0,96.0,75.0,0,8.0,8.0,0.8,48.0,0,0
16,13.1,34.0,51.56762611023353,0,0.0,4.516139514731369,0.0,46.0,0,0
17,6.5,95.0,92.0,0,8.0,8.0,0.8,20.0,1,1
18,18.0,85.0,71.0,1,4.4508929235253,7.0,1.2,24.0,0,0
19,10.6,66.0,67.0,0,6.0,8.0,0.0,48.0,1,0
20,19.2,85.0,88.0,0,8.0,8.0,0.0,41.0,1,1
21,11.7,93.0,61.0,1,4.4508929235253,4.516139514731369,1.8,41.0,0,0
22,8.9,37.0,33.0,0,1.0,6.0,0.0,43.0,1,0
23,14.5,81.0,49.0,0,4.4508929235253,4.516139514731369,0.2,33.0,0,0
24,10.5,89.0,84.0,0,6.0,8.0,0.0,54.0,1,1
25,5.6,70.0,61.0,0,4.0,7.0,0.0,54.0,0,0
26,12.9,56.0,58.0,0,7.0,8.0,0.0,43.0,0,0
27,4.9,53.0,65.0,0,3.0,8.0,0.0,43.0,0,0
28,11.8,79.0,59.0,0,4.4508929235253,4.516139514731369,0.4,37.0,0,0
29,9.2,75.0,48.0,0,8.0,5.0,0.0,30.0,0,0
30,9.7,57.0,38.0,0,4.4508929235253,4.516139514731369,0.0,28.0,0,0
31,14.3,69.0,51.0,0,4.4508929235253,4.516139514731369,0.0,24.0,0,0
32,18.8,91.0,91.0,1,7.0,8.0,1.6,33.0,1,1
33,10.6,46.0,57.0,0,4.4508929235253,4.516139514731369,0.0,39.0,0,0
34,9.4,68.0,47.0,0,2.0,4.516139514731369,0.0,50.0,1,0
35,17.3,74.0,50.0,0,8.0,7.0,0.0,41.0,0,0
36,15.2,90.0,79.0,0,8.0,4.0,0.4,35.0,1,0
37,11.0,53.0,47.0,0,4.4508929235253,4.516139514731369,0.2,20.0,0,0
38,7.0,56.0,17.0,0,4.4508929235253,4.516139514731369,0.0,48.0,0,0
39,11.1,63.0,24.0,0,4.4508929235253,4.516139514731369,0.2,48.0,0,0
40,22.1,81.0,74.0,0,7.0,3.0,0.0,31.0,0,0
41,13.1,69.0,41.0,0,4.4508929235253,4.516139514731369,0.0,52.0,0,0
42,16.6,80.0,75.0,0,8.0,8.0,0.0,40.032002287991006,0,0
43,5.7,67.0,40.0,0,1.0,4.0,0.0,33.0,0,0
44,21.7,74.0,86.0,0,4.4508929235253,4.516139514731369,0.0,40.032002287991006,0,1
45,10.6,77.0,55.0,0,8.0,3.0,0.0,40.032002287991006,0,0
46,9.4,62.0,36.0,0,1.0,5.0,0.0,31.0,0,0
47,5.8,78.0,13.0,0,4.4508929235253,4.516139514731369,0.0,50.0,0,0
48,11.4,50.0,44.0,0,4.4508929235253,4.516139514731369,0.2,35.0,0,0
49,7.6,74.0,42.0,0,4.4508929235253,4.516139514731369,0.0,17.0,0,0
50,1.0,70.0,28.0,0,1.0,4.0,0.0,41.0,1,0
51,17.0,70.0,58.0,0,4.4508929235253,4.516139514731369,0.0,35.0,0,0
52,12.9,67.0,33.0,0,4.4508929235253,4.516139514731369,0.0,31.0,0,0
53,5.1,59.0,33.0,0,4.4508929235253,4.516139514731369,0.0,39.0,0,0
54,13.6,72.0,78.0,0,4.4508929235253,4.516139514731369,0.0,46.0,0,0
55,13.8,66.0,46.0,0,1.0,5.0,0.0,22.0,0,0
56,10.3,84.0,81.0,1,4.4508929235253,4.516139514731369,2.0,22.0,1,0
57,5.6,89.0,68.0,0,4.4508929235253,4.516139514731369,0.0,44.0,1,0
58,18.0,69.0,70.0,0,4.4508929235253,4.516139514731369,0.0,50.0,0,0
59,5.9,69.0,37.0,0,4.4508929235253,4.516139514731369,0.0,31.0,0,0
60,10.3,62.0,40.0,0,4.4508929235253,4.516139514731369,0.0,31.0,0,0
61,15.5,74.0,38.0,0,4.4508929235253,4.516139514731369,0.0,33.0,0,0
62,18.0,100.0,84.0,0,4.4508929235253,4.516139514731369,0.2,44.0,0,0
63,7.2,66.0,59.0,0,2.0,5.0,0.2,31.0,0,0
64,20.0,71.0,51.56762611023353,0,7.0,4.516139514731369,0.0,40.032002287991006,0,0
65,4.9,43.0,36.0,0,4.4508929235253,4.516139514731369,0.0,44.0,0,0
66,9.3,50.0,43.0,0,4.4508929235253,4.516139514731369,0.0,39.0,0,0
67,20.0,56.0,56.0,0,4.0,7.0,0.0,37.0,0,0
68,0.5,98.0,78.0,0,4.4508929235253,4.516139514731369,0.4,17.0,0,0
69,13.3,57.0,61.0,0,4.4508929235253,4.516139514731369,0.0,28.0,1,0
70,16.2,46.0,51.0,0,5.0,4.0,0.0,46.0,0,0
71,8.5,45.0,30.0,0,4.4508929235253,4.516139514731369,0.0,43.0,0,0
72,2.8,62.0,41.0,0,4.4508929235253,4.516139514731369,0.2,33.0,0,0
73,8.1,100.0,80.0,0,3.0,8.0,0.2,19.0,1,0
74,9.1,68.0,38.0,0,4.4508929235253,4.516139514731369,0.0,39.0,0,0
75,16.4,90.0,42.0,0,4.4508929235253,4.516139514731369,1.0,56.0,0,0
76,7.3,35.0,23.0,0,4.4508929235253,4.516139514731369,0.0,54.0,0,0
77,16.5,61.0,18.0,0,1.0,4.0,0.0,30.0,0,0
78,11.9,53.0,38.0,0,4.4508929235253,4.516139514731369,0.0,28.0,0,0
79,15.1,34.0,11.0,0,4.4508929235253,4.516139514731369,0.0,46.0,0,0
80,18.5,79.0,54.0,0,4.4508929235253,4.516139514731369,0.0,46.0,0,0
81,7.1,66.0,43.0,0,0.0,4.516139514731369,0.2,37.0,0,0
82,6.9,55.0,38.0,0,4.4508929235253,4.516139514731369,0.0,37.0,0,0
83,10.5,50.0,33.0,0,4.4508929235253,4.516139514731369,0.0,43.0,0,0
84,18.6,78.0,76.0,0,4.4508929235253,4.516139514731369,0.0,44.0,0,0
85,6.1,75.0,57.0,0,7.0,7.0,1.0,35.0,0,0
86,14.0,74.0,49.0,0,7.0,6.0,0.0,39.0,0,0
87,3.2,99.0,65.0,1,8.0,7.0,1.8,24.0,0,0
88,17.1,49.0,74.0,0,4.4508929235253,4.516139514731369,0.0,39.0,0,0
89,11.2,96.0,74.0,0,4.4508929235253,4.516139514731369,1.0,19.0,0,0
90,6.6,66.0,39.0,0,4.4508929235253,4.516139514731369,0.0,33.0,0,0
91,1.1,95.0,57.0,0,8.0,4.516139514731369,0.6,50.0,0,0
92,3.9,61.0,45.0,0,3.0,7.0,0.0,50.0,0,0
93,2.4,83.0,29.0,0,4.4508929235253,4.516139514731369,0.0,31.0,0,0
94,21.3,70.0,37.0,0,4.4508929235253,4.516139514731369,0.0,39.0,1,0
95,10.3,73.0,68.0,0,4.4508929235253,4.516139514731369,0.0,35.0,0,0
96,16.6,67.0,40.0,0,4.4508929235253,4.516139514731369,0.0,37.0,0,0
97,16.9,51.0,50.0,0,4.4508929235253,4.516139514731369,0.0,48.0,1,0
98,12.0,74.0,51.56762611023353,0,0.0,4.516139514731369,0.0,40.032002287991006,0,0
99,12.3,79.0,38.0,0,4.4508929235253,4.516139514731369,0.2,31.0,0,0
100,20.6,40.0,18.0,0,1.0,4.516139514731369,0.0,56.0,0,0
101,6.5,92.0,67.0,0,7.0,8.0,0.0,41.0,0,0
102,7.4,70.0,26.0,0,4.4508929235253,4.516139514731369,0.0,33.0,0,0
103,8.0,67.0,36.0,0,4.4508929235253,4.516139514731369,0.0,57.0,0,0
104,10.1,46.0,58.0,0,4.4508929235253,6.0,0.0,50.0,0,0
105,24.0,72.0,51.56762611023353,0,2.0,4.516139514731369,0.0,37.0,0,0
106,10.0,83.0,51.56762611023353,0,1.0,4.516139514731369,0.8,40.032002287991006,0,0
107,9.9,84.0,49.0,0,5.0,6.0,0.0,46.0,1,0
108,16.1,64.0,78.0,0,1.0,7.0,0.0,54.0,0,1
109,20.0,69.0,64.0,0,4.4508929235253,4.516139514731369,0.2,35.0,0,0
110,17.0,69.0,65.0,0,4.4508929235253,4.516139514731369,0.0,20.0,0,0
111,1.3,97.0,47.0,0,4.4508929235253,8.0,0.0,35.0,0,0
112,17.8,77.0,80.0,0,8.0,7.0,0.0,59.0,1,1
113,13.8,64.0,51.0,0,4.4508929235253,4.516139514731369,0.0,33.0,0,0
114,17.7,51.0,17.0,0,4.4508929235253,4.516139514731369,0.0,48.0,1,0
115,9.5,44.0,75.0,0,4.4508929235253,4.516139514731369,0.2,46.0,0,0
116,10.0,59.0,35.0,0,4.4508929235253,4.516139514731369,0.0,44.0,0,0
117,14.6,61.0,55.0,0,2.0,7.0,0.0,33.0,0,0
118,16.0,73.0,49.0,0,4.4508929235253,4.516139514731369,0.0,26.0,0,0
119,9.9,65.0,32.0,0,4.4508929235253,4.516139514731369,0.0,43.0,0,0
120,17.8,76.0,62.0,0,4.4508929235253,4.516139514731369,0.4,41.0,0,0
121,18.1,36.0,25.0,0,6.0,7.0,0.0,37.0,0,0
122,3.8,83.0,33.0,0,4.4508929235253,4.516139514731369,0.0,20.0,0,0
123,16.4,82.0,65.0,1,6.0,4.0,1.4,33.0,0,0
124,10.2,70.0,51.56762611023353,0,7.0,4.516139514731369,0.0,40.032002287991006,1,0
125,14.4,60.0,30.0,0,1.0,4.0,0.0,41.0,0,0
126,8.2,85.0,77.0,0,4.4508929235253,4.516139514731369,0.4,41.0,1,0
127,4.4,99.0,58.0,0,4.4508929235253,4.516139514731369,0.4,20.0,0,0
128,7.9,72.0,36.0,0,3.0,3.0,0.0,39.0,0,0
129,8.1,73.0,46.0,0,7.0,3.0,0.0,37.0,0,0
130,2.5,95.0,47.0,0,5.0,3.0,0.2,15.0,0,0
131,6.1,96.0,78.0,0,4.0,7.0,0.2,24.0,0,0
132,9.6,76.0,40.0,0,2.0,7.0,0.0,35.0,0,0
133,12.5,60.0,24.0,0,6.0,4.516139514731369,0.0,33.0,0,0
134,20.8,46.0,77.0,0,4.4508929235253,6.0,0.4,59.0,0,0
135,13.2,69.0,42.0,0,2.0,3.0,0.2,24.0,0,0
136,26.4,58.0,38.0,0,3.0,5.0,0.0,44.0,1,0
137,2.7,56.0,39.0,0,1.0,4.516139514731369,0.0,31.0,0,0
138,6.1,54.0,19.0,0,4.4508929235253,4.516139514731369,0.0,33.0,0,0
139,16.8,82.0,47.0,0,4.4508929235253,4.516139514731369,0.0,26.0,0,0
140,20.6,70.0,64.0,0,4.4508929235253,4.516139514731369,0.0,30.0,0,0
141,13.2,70.0,64.0,0,1.0,4.0,0.0,28.0,0,0
142,24.0,52.0,50.0,0,2.0,7.0,0.0,50.0,0,0
143,20.7,68.0,59.0,0,7.0,8.0,0.2,40.032002287991006,0,0
144,8.4,82.0,37.0,0,4.4508929235253,4.516139514731369,0.0,30.0,0,0
145,10.8,58.0,39.0,0,7.0,4.0,0.0,41.0,0,0
146,10.0,49.0,29.0,0,4.0,6.0,0.0,35.0,0,0
147,6.2,85.0,90.0,0,4.4508929235253,4.516139514731369,0.6,26.0,1,1
148,3.8,71.0,41.0,0,1.0,4.516139514731369,0.0,24.0,0,0
149,15.0,41.0,12.0,0,0.0,3.0,0.0,33.0,0,0
150,5.6,95.0,66.0,0,4.4508929235253,4.516139514731369,0.2,30.0,1,0
151,6.6,71.0,41.0,0,4.4508929235253,4.516139514731369,0.2,31.0,0,0
152,9.5,61.0,39.0,0,5.0,3.0,0.0,43.0,0,0
153,11.5,95.0,76.0,0,8.0,4.516139514731369,0.0,24.0,0,0
