,SuhuMin,SuhuMax,SinarMatahari,Kelembaban9am,Kelembaban3pm,BersaljuHariIni,Awan9am,Awan3pm,Hujan,KecepatanAnginTerkencang,BersaljuBesok
2,18.2,32.0,7.599527470202413,62.0,42.0,0,4.4508929235253,4.516139514731369,0.0,44.0,0
12,12.3,17.0,7.599527470202413,76.0,80.0,0,8.0,7.0,0.0,40.032002287991006,1
14,6.5,17.0,7.599527470202413,65.0,66.0,0,4.4508929235253,4.516139514731369,0.0,39.0,0
15,9.3,19.3,7.0,82.0,46.0,0,5.0,5.0,0.0,39.0,0
16,10.7,24.1,7.599527470202413,73.0,42.0,0,4.4508929235253,4.516139514731369,0.2,43.0,0
17,13.0,20.8,6.0,84.0,53.0,0,3.0,5.0,0.2,33.0,0
19,12.5,21.1,9.7,65.0,29.0,1,5.0,4.0,2.0,50.0,0
22,19.5,35.9,7.599527470202413,67.0,25.0,0,2.0,4.516139514731369,0.0,35.0,0
30,5.5,18.2,7.599527470202413,65.0,51.0,0,4.4508929235253,4.516139514731369,0.2,48.0,0
32,9.3,19.8,7.599527470202413,70.0,40.0,0,6.0,4.0,0.0,46.0,1
36,11.2,25.3,7.599527470202413,35.0,25.0,0,4.4508929235253,4.516139514731369,0.8,41.0,0
37,17.1,31.4,7.599527470202413,62.0,59.0,0,1.0,4.0,0.0,39.0,0
41,1.8,16.0,7.599527470202413,87.0,42.0,0,4.4508929235253,4.516139514731369,0.0,30.0,0
43,9.1,24.6,7.599527470202413,63.0,37.0,0,4.4508929235253,4.516139514731369,0.0,24.0,0
48,7.3,20.9,7.599527470202413,36.0,37.0,0,4.4508929235253,4.516139514731369,0.0,40.032002287991006,0
53,14.0,20.8,7.599527470202413,96.0,75.0,0,8.0,8.0,0.8,48.0,0
56,13.1,29.9,7.599527470202413,34.0,51.56762611023354,0,0.0,4.516139514731369,0.0,46.0,0
57,6.5,14.3,7.599527470202413,95.0,92.0,0,8.0,8.0,0.8,20.0,1
62,18.0,23.1,7.599527470202413,85.0,71.0,1,4.4508929235253,7.0,1.2,24.0,0
63,10.6,21.2,7.599527470202413,66.0,67.0,0,6.0,8.0,0.0,48.0,1
64,19.2,24.2,7.599527470202413,85.0,88.0,0,8.0,8.0,0.0,41.0,1
67,11.7,19.0,7.599527470202413,93.0,61.0,1,4.4508929235253,4.516139514731369,1.8,41.0,0
70,8.9,25.4,9.9,37.0,33.0,0,1.0,6.0,0.0,43.0,1
72,14.5,23.7,7.599527470202413,81.0,49.0,0,4.4508929235253,4.516139514731369,0.2,33.0,0
73,10.5,19.8,7.599527470202413,89.0,84.0,0,6.0,8.0,0.0,54.0,1
76,5.6,14.6,9.1,70.0,61.0,0,4.0,7.0,0.0,54.0,0
78,12.9,17.0,7.599527470202413,56.0,58.0,0,7.0,8.0,0.0,43.0,0
79,4.9,24.1,8.0,53.0,65.0,0,3.0,8.0,0.0,43.0,0
80,11.8,18.5,6.9,79.0,59.0,0,4.4508929235253,4.516139514731369,0.4,37.0,0
81,9.2,19.5,9.7,75.0,48.0,0,8.0,5.0,0.0,30.0,0
84,9.7,18.6,8.9,57.0,38.0,0,4.4508929235253,4.516139514731369,0.0,28.0,0
86,14.3,26.5,7.599527470202413,69.0,51.0,0,4.4508929235253,4.516139514731369,0.0,24.0,0
87,18.8,23.2,7.599527470202413,91.0,91.0,1,7.0,8.0,1.6,33.0,1
89,10.6,23.1,7.599527470202413,46.0,57.0,0,4.4508929235253,4.516139514731369,0.0,39.0,0
94,9.4,24.7,7.599527470202413,68.0,47.0,0,2.0,4.516139514731369,0.0,50.0,1
98,17.3,26.0,6.7,74.0,50.0,0,8.0,7.0,0.0,41.0,0
100,15.2,20.1,7.599527470202413,90.0,79.0,0,8.0,4.0,0.4,35.0,1
101,11.0,22.4,7.599527470202413,53.0,47.0,0,4.4508929235253,4.516139514731369,0.2,20.0,0
105,7.0,26.1,7.599527470202413,56.0,17.0,0,4.4508929235253,4.516139514731369,0.0,48.0,0
106,11.1,27.7,7.599527470202413,63.0,24.0,0,4.4508929235253,4.516139514731369,0.2,48.0,0
107,22.1,28.2,7.9,81.0,74.0,0,7.0,3.0,0.0,31.0,0
111,13.1,22.6,7.599527470202413,69.0,41.0,0,4.4508929235253,4.516139514731369,0.0,52.0,0
113,16.6,21.8,7.599527470202413,80.0,75.0,0,8.0,8.0,0.0,40.032002287991006,0
114,5.7,20.1,7.599527470202413,67.0,40.0,0,1.0,4.0,0.0,33.0,0
119,21.7,27.6,7.599527470202413,74.0,86.0,0,4.4508929235253,4.516139514731369,0.0,40.032002287991006,0
121,10.6,27.2,7.599527470202413,77.0,55.0,0,8.0,3.0,0.0,40.032002287991006,0
123,9.4,21.3,10.0,62.0,36.0,0,1.0,5.0,0.0,31.0,0
124,5.8,29.6,7.599527470202413,78.0,13.0,0,4.4508929235253,4.516139514731369,0.0,50.0,0
126,11.4,20.9,7.599527470202413,50.0,44.0,0,4.4508929235253,4.516139514731369,0.2,35.0,0
127,7.6,22.5,7.599527470202413,74.0,42.0,0,4.4508929235253,4.516139514731369,0.0,17.0,0
128,1.0,22.4,8.8,70.0,28.0,0,1.0,4.0,0.0,41.0,1
131,17.0,28.0,7.599527470202413,70.0,58.0,0,4.4508929235253,4.516139514731369,0.0,35.0,0
133,12.9,26.7,7.599527470202413,67.0,33.0,0,4.4508929235253,4.516139514731369,0.0,31.0,0
134,5.1,25.7,7.599527470202413,59.0,33.0,0,4.4508929235253,4.516139514731369,0.0,39.0,0
139,13.6,21.9,7.599527470202413,72.0,78.0,0,4.4508929235253,4.516139514731369,0.0,46.0,0
140,13.8,26.1,9.1,66.0,46.0,0,1.0,5.0,0.0,22.0,0
144,10.3,13.9,7.599527470202413,84.0,81.0,1,4.4508929235253,4.516139514731369,2.0,22.0,1
145,5.6,20.6,7.599527470202413,89.0,68.0,0,4.4508929235253,4.516139514731369,0.0,44.0,1
146,18.0,24.5,7.599527470202413,69.0,70.0,0,4.4508929235253,4.516139514731369,0.0,50.0,0
147,5.9,24.0,7.599527470202413,69.0,37.0,0,4.4508929235253,4.516139514731369,0.0,31.0,0
148,10.3,19.8,8.5,62.0,40.0,0,4.4508929235253,4.516139514731369,0.0,31.0,0
149,15.5,32.5,7.599527470202413,74.0,38.0,0,4.4508929235253,4.516139514731369,0.0,33.0,0
152,18.0,28.6,7.599527470202413,100.0,84.0,0,4.4508929235253,4.516139514731369,0.2,44.0,0
155,7.2,16.5,9.0,66.0,59.0,0,2.0,5.0,0.2,31.0,0
156,20.0,26.5,7.599527470202413,71.0,51.56762611023354,0,7.0,4.516139514731369,0.0,40.032002287991006,0
157,4.9,16.2,7.599527470202413,43.0,36.0,0,4.4508929235253,4.516139514731369,0.0,44.0,0
158,9.3,19.1,7.599527470202413,50.0,43.0,0,4.4508929235253,4.516139514731369,0.0,39.0,0
163,20.0,26.1,8.2,56.0,56.0,0,4.0,7.0,0.0,37.0,0
165,0.5,12.6,7.599527470202413,98.0,78.0,0,4.4508929235253,4.516139514731369,0.4,17.0,0
168,13.3,21.2,7.599527470202413,57.0,61.0,0,4.4508929235253,4.516139514731369,0.0,28.0,1
170,16.2,23.5,8.7,46.0,51.0,0,5.0,4.0,0.0,46.0,0
173,8.5,16.7,7.599527470202413,45.0,30.0,0,4.4508929235253,4.516139514731369,0.0,43.0,0
181,2.8,14.5,10.0,62.0,41.0,0,4.4508929235253,4.516139514731369,0.2,33.0,0
183,8.1,20.4,7.599527470202413,100.0,80.0,0,3.0,8.0,0.2,19.0,1
185,9.1,21.1,7.599527470202413,68.0,38.0,0,4.4508929235253,4.516139514731369,0.0,39.0,0
186,16.4,25.0,7.599527470202413,90.0,42.0,0,4.4508929235253,4.516139514731369,1.0,56.0,0
191,7.3,23.3,7.599527470202413,35.0,23.0,0,4.4508929235253,4.516139514731369,0.0,54.0,0
192,16.5,37.7,7.599527470202413,61.0,18.0,0,1.0,4.0,0.0,30.0,0
193,11.9,23.8,7.599527470202413,53.0,38.0,0,4.4508929235253,4.516139514731369,0.0,28.0,0
196,15.1,31.8,7.599527470202413,34.0,11.0,0,4.4508929235253,4.516139514731369,0.0,46.0,0
198,18.5,34.0,7.599527470202413,79.0,54.0,0,4.4508929235253,4.516139514731369,0.0,46.0,0
